1,3,1,4,1,0,1,1,0,0,2,0,1,0
2,1,0,6,1,0,4,2,3,2,2,0,1,1
3,3,0,5,0,0,1,1,0,0,1,1,1,1
4,1,0,5,1,0,4,1,3,2,2,0,1,1
5,3,1,5,0,0,2,1,0,0,1,1,1,0
6,3,1,0,0,0,2,3,0,0,1,1,1,0
7,1,1,6,0,0,4,1,5,1,1,1,1,0
8,3,1,1,3,1,3,1,0,0,5,0,2,0
9,3,0,5,0,2,2,1,0,0,3,0,1,1
10,2,0,3,1,0,3,2,0,0,2,0,1,1
11,3,0,1,1,1,3,1,7,1,3,0,1,1
12,1,0,6,0,0,3,1,3,2,1,1,1,1
13,3,1,4,0,0,2,1,0,0,1,1,1,0
14,3,1,6,1,5,4,1,0,0,7,0,1,0
15,3,0,3,0,0,1,1,0,0,1,1,1,0
16,2,0,6,0,0,3,1,0,0,1,1,1,1
17,3,1,1,4,1,3,3,0,0,6,0,2,0
18,2,1,0,0,0,2,1,0,0,1,1,1,1
19,3,0,5,1,0,3,1,0,0,2,0,1,0
20,3,0,0,0,0,1,2,0,0,1,1,1,1
21,2,1,5,0,0,3,1,0,0,1,1,1,0
22,2,1,5,0,0,2,1,4,1,1,1,1,1
23,3,0,3,0,0,2,3,0,0,1,1,1,1
24,1,1,5,0,0,4,1,1,1,1,1,1,1
25,3,0,2,3,1,3,1,0,0,5,0,1,0
26,3,0,6,1,5,4,1,0,0,7,0,1,1
27,3,1,0,0,0,1,2,0,0,1,1,1,0
28,1,1,4,3,2,4,1,3,1,6,0,1,0
29,3,0,0,0,0,1,3,0,0,1,1,1,1
30,3,1,0,0,0,1,1,0,0,1,1,1,0
31,1,1,6,0,0,3,2,0,0,1,1,2,0
32,1,0,0,1,0,4,2,2,2,2,0,1,1
33,3,0,0,0,0,1,3,0,0,1,1,1,1
34,2,1,7,0,0,2,1,0,0,1,1,1,0
35,1,1,5,1,0,4,2,0,0,2,0,1,0
36,1,1,6,1,0,4,1,0,0,2,0,1,0
37,3,1,0,0,0,1,2,0,0,1,1,1,1
38,3,1,4,0,0,2,1,0,0,1,1,1,0
39,3,0,3,2,0,3,1,0,0,3,0,1,0
40,3,0,3,1,0,2,2,0,0,2,0,1,1
41,3,0,6,1,0,2,1,0,0,2,0,1,0
42,2,0,5,1,0,3,1,0,0,2,0,1,0
43,3,1,0,0,0,1,2,0,0,1,1,1,0
44,2,0,1,1,2,4,2,0,0,4,0,1,1
45,3,0,4,0,0,1,3,0,0,1,1,1,1
46,3,1,0,0,0,2,1,0,0,1,1,1,0
47,3,1,0,1,0,3,3,0,0,2,0,1,0
48,3,0,0,0,0,1,3,0,0,1,1,1,1
49,3,1,0,2,0,3,2,0,0,3,0,1,0
50,3,0,3,1,0,3,1,0,0,2,0,1,0
51,3,1,2,4,1,4,1,0,0,6,0,2,0
52,3,1,4,0,0,1,1,0,0,1,1,1,0
53,1,0,6,1,0,4,2,4,1,2,0,1,1
54,2,0,5,1,0,3,1,0,0,2,0,1,1
55,1,1,7,0,1,4,2,2,1,2,0,1,0
56,1,1,0,0,0,4,1,3,1,1,1,1,1
57,2,0,4,0,0,2,1,0,0,1,1,1,1
58,3,1,5,0,0,1,2,0,0,1,1,1,0
59,2,0,1,1,2,3,1,0,0,4,0,1,1
60,3,1,2,5,2,4,1,0,0,8,0,2,0
61,3,1,4,0,0,1,2,0,0,1,1,1,0
62,1,0,6,0,0,4,0,2,1,1,1,1,1
63,1,1,6,1,0,4,1,3,2,2,0,1,0
64,3,1,1,3,2,3,1,0,0,6,0,2,0
65,1,1,0,0,0,3,2,0,0,1,1,1,0
66,3,1,0,1,1,3,2,0,0,3,0,2,1
67,2,0,5,0,0,2,1,6,1,1,1,1,1
68,3,1,4,0,0,2,1,0,0,1,1,1,0
69,3,0,3,4,2,1,1,0,0,7,0,1,1
70,3,1,5,2,0,2,1,0,0,3,0,1,0
71,2,1,5,0,0,2,1,0,0,1,1,1,0
72,3,0,3,5,2,4,1,0,0,8,0,1,0
73,2,1,4,0,0,4,1,0,0,1,1,1,0
74,3,1,5,1,0,2,2,0,0,2,0,1,0
75,3,1,5,0,0,4,1,0,0,1,1,1,1
76,3,1,4,0,0,1,1,7,1,1,1,1,0
77,3,1,0,0,0,1,1,0,0,1,1,1,0
